"temp_after","yhat","predictors","model","index"
4.7,0.533174046453227,"temp_after","sampling w/o coordinates","k_index"
4.975,0.533174046453227,"temp_after","sampling w/o coordinates","k_index"
5.25,0.533174046453227,"temp_after","sampling w/o coordinates","k_index"
5.525,0.534226104554751,"temp_after","sampling w/o coordinates","k_index"
5.8,0.534226104554751,"temp_after","sampling w/o coordinates","k_index"
6.075,0.534226104554751,"temp_after","sampling w/o coordinates","k_index"
6.35,0.534226104554751,"temp_after","sampling w/o coordinates","k_index"
6.625,0.534226104554751,"temp_after","sampling w/o coordinates","k_index"
6.9,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
7.175,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
7.45,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
7.725,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
8,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
8.275,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
8.55,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
8.825,0.53364655038107,"temp_after","sampling w/o coordinates","k_index"
9.1,0.528055508220051,"temp_after","sampling w/o coordinates","k_index"
