"sub_type_int","yhat","predictors","model","index"
0,0.532357522050574,"sub_type","sampling w/o coordinates","k_index"
1,0.535307861678994,"sub_type","sampling w/o coordinates","k_index"
2,0.534962696898481,"sub_type","sampling w/o coordinates","k_index"
3,0.519710578337328,"sub_type","sampling w/o coordinates","k_index"
