"cat_velocity","yhat","predictors","model","index"
1,695.95174843332,"cat_velocity","all predictors w/o coordinates","abundance"
2,695.95174843332,"cat_velocity","all predictors w/o coordinates","abundance"
3,728.649613732877,"cat_velocity","all predictors w/o coordinates","abundance"
4,740.086174999458,"cat_velocity","all predictors w/o coordinates","abundance"
5,760.169142746972,"cat_velocity","all predictors w/o coordinates","abundance"
