"cpom_cover","yhat","predictors","model","index"
1,0.530826673291072,"cpom_cover","sampling w/o coordinates","k_index"
2,0.54107357468456,"cpom_cover","sampling w/o coordinates","k_index"
3,0.54107357468456,"cpom_cover","sampling w/o coordinates","k_index"
