"y","yhat","predictors","model","index"
1118905.656,0.194988964232305,"y","all predictors w/ coordinates","rel_abundance"
1121771.19458,0.197021586662273,"y","all predictors w/ coordinates","rel_abundance"
1124636.73316,0.198702535472153,"y","all predictors w/ coordinates","rel_abundance"
1127502.27174,0.199929829113618,"y","all predictors w/ coordinates","rel_abundance"
1130367.81032,0.200224819786503,"y","all predictors w/ coordinates","rel_abundance"
1133233.3489,0.200224819786503,"y","all predictors w/ coordinates","rel_abundance"
1136098.88748,0.199034462122776,"y","all predictors w/ coordinates","rel_abundance"
1138964.42606,0.199034462122776,"y","all predictors w/ coordinates","rel_abundance"
1141829.96464,0.199034462122776,"y","all predictors w/ coordinates","rel_abundance"
1144695.50322,0.199028670254596,"y","all predictors w/ coordinates","rel_abundance"
1147561.0418,0.198647450766731,"y","all predictors w/ coordinates","rel_abundance"
1150426.58038,0.198647450766731,"y","all predictors w/ coordinates","rel_abundance"
1153292.11896,0.19806925045799,"y","all predictors w/ coordinates","rel_abundance"
1156157.65754,0.198069680647957,"y","all predictors w/ coordinates","rel_abundance"
1159023.19612,0.198047506264053,"y","all predictors w/ coordinates","rel_abundance"
1161888.7347,0.197888056633841,"y","all predictors w/ coordinates","rel_abundance"
1164754.27328,0.197834861838367,"y","all predictors w/ coordinates","rel_abundance"
1167619.81186,0.197834861838367,"y","all predictors w/ coordinates","rel_abundance"
1170485.35044,0.197799196533987,"y","all predictors w/ coordinates","rel_abundance"
1173350.88902,0.197799196533987,"y","all predictors w/ coordinates","rel_abundance"
1176216.4276,0.198584214325624,"y","all predictors w/ coordinates","rel_abundance"
1179081.96618,0.198924417220037,"y","all predictors w/ coordinates","rel_abundance"
1181947.50476,0.197630246208644,"y","all predictors w/ coordinates","rel_abundance"
1184813.04334,0.196452681517017,"y","all predictors w/ coordinates","rel_abundance"
1187678.58192,0.194109683139018,"y","all predictors w/ coordinates","rel_abundance"
1190544.1205,0.193922904499382,"y","all predictors w/ coordinates","rel_abundance"
1193409.65908,0.194141082046239,"y","all predictors w/ coordinates","rel_abundance"
1196275.19766,0.192419999254337,"y","all predictors w/ coordinates","rel_abundance"
1199140.73624,0.192185098704785,"y","all predictors w/ coordinates","rel_abundance"
1202006.27482,0.191823458469979,"y","all predictors w/ coordinates","rel_abundance"
1204871.8134,0.191874915428729,"y","all predictors w/ coordinates","rel_abundance"
1207737.35198,0.191874915428729,"y","all predictors w/ coordinates","rel_abundance"
1210602.89056,0.191874915428729,"y","all predictors w/ coordinates","rel_abundance"
1213468.42914,0.191874915428729,"y","all predictors w/ coordinates","rel_abundance"
1216333.96772,0.191838859662334,"y","all predictors w/ coordinates","rel_abundance"
1219199.5063,0.191838859662334,"y","all predictors w/ coordinates","rel_abundance"
1222065.04488,0.191838859662334,"y","all predictors w/ coordinates","rel_abundance"
1224930.58346,0.191838859662334,"y","all predictors w/ coordinates","rel_abundance"
1227796.12204,0.19184394558989,"y","all predictors w/ coordinates","rel_abundance"
1230661.66062,0.192150374368817,"y","all predictors w/ coordinates","rel_abundance"
1233527.1992,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1236392.73778,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1239258.27636,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1242123.81494,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1244989.35352,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1247854.8921,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1250720.43068,0.192475477303556,"y","all predictors w/ coordinates","rel_abundance"
1253585.96926,0.199274163393993,"y","all predictors w/ coordinates","rel_abundance"
1256451.50784,0.199274163393993,"y","all predictors w/ coordinates","rel_abundance"
1259317.04642,0.199347793198826,"y","all predictors w/ coordinates","rel_abundance"
1262182.585,0.199154300895543,"y","all predictors w/ coordinates","rel_abundance"
