"clog_3_class_int","yhat","predictors","model","index"
0,750.746816085445,"clog_3_class","sampling w/o coordinates","abundance"
1,748.219120988947,"clog_3_class","sampling w/o coordinates","abundance"
2,745.330884411517,"clog_3_class","sampling w/o coordinates","abundance"
