"cat_velocity","yhat","predictors","model","index"
1,2.48742978944789,"cat_velocity","all predictors w/o coordinates","shannon_index"
2,2.49244724731253,"cat_velocity","all predictors w/o coordinates","shannon_index"
3,2.50964213874663,"cat_velocity","all predictors w/o coordinates","shannon_index"
4,2.51404017236228,"cat_velocity","all predictors w/o coordinates","shannon_index"
5,2.51197716421692,"cat_velocity","all predictors w/o coordinates","shannon_index"
