"cat_velocity","yhat","predictors","model","index"
1,0.531761528993297,"cat_velocity","sampling w/o coordinates","k_index"
2,0.531761528993297,"cat_velocity","sampling w/o coordinates","k_index"
3,0.531629363282061,"cat_velocity","sampling w/o coordinates","k_index"
4,0.531629363282061,"cat_velocity","sampling w/o coordinates","k_index"
5,0.529468339977989,"cat_velocity","sampling w/o coordinates","k_index"
