"cpom_cover","yhat","predictors","model","index"
1,747.519033767501,"cpom_cover","sampling w/ coordinates","abundance"
2,1257.13719191375,"cpom_cover","sampling w/ coordinates","abundance"
3,2130.62110477024,"cpom_cover","sampling w/ coordinates","abundance"
