"sub_type_int","yhat","predictors","model","index"
0,0.527746539141146,"sub_type","sampling w/o coordinates","k_index"
1,0.528613562233395,"sub_type","sampling w/o coordinates","k_index"
2,0.542697770483927,"sub_type","sampling w/o coordinates","k_index"
3,0.543621608703161,"sub_type","sampling w/o coordinates","k_index"
