"cat_velocity","yhat","predictors","model","index"
1,764.779667614269,"cat_velocity","sampling w/ coordinates","abundance"
2,764.779667614269,"cat_velocity","sampling w/ coordinates","abundance"
3,764.764386543487,"cat_velocity","sampling w/ coordinates","abundance"
4,763.903140858333,"cat_velocity","sampling w/ coordinates","abundance"
5,749.187733290813,"cat_velocity","sampling w/ coordinates","abundance"
