"cat_velocity","yhat","predictors","model","index"
1,731.775835078696,"cat_velocity","sampling w/o coordinates","abundance"
2,731.775835078696,"cat_velocity","sampling w/o coordinates","abundance"
3,725.131910420846,"cat_velocity","sampling w/o coordinates","abundance"
4,736.455031906349,"cat_velocity","sampling w/o coordinates","abundance"
5,736.420802487843,"cat_velocity","sampling w/o coordinates","abundance"
