"pH_after","yhat","predictors","model","index"
7.23,757.373955913821,"pH_after","all predictors w/o coordinates","abundance"
7.33733333333333,757.373955913821,"pH_after","all predictors w/o coordinates","abundance"
7.44466666666667,757.373955913821,"pH_after","all predictors w/o coordinates","abundance"
7.552,757.439894185426,"pH_after","all predictors w/o coordinates","abundance"
7.65933333333333,757.056417832149,"pH_after","all predictors w/o coordinates","abundance"
7.76666666666667,756.959802447534,"pH_after","all predictors w/o coordinates","abundance"
7.874,752.59417863801,"pH_after","all predictors w/o coordinates","abundance"
7.98133333333333,752.727093882719,"pH_after","all predictors w/o coordinates","abundance"
8.08866666666667,757.088331132198,"pH_after","all predictors w/o coordinates","abundance"
8.196,768.829987436987,"pH_after","all predictors w/o coordinates","abundance"
8.30333333333333,760.355278408215,"pH_after","all predictors w/o coordinates","abundance"
8.41066666666667,759.948296563259,"pH_after","all predictors w/o coordinates","abundance"
8.518,764.548162497402,"pH_after","all predictors w/o coordinates","abundance"
8.62533333333333,753.34830099108,"pH_after","all predictors w/o coordinates","abundance"
8.73266666666667,770.562627747683,"pH_after","all predictors w/o coordinates","abundance"
8.84,768.557579561062,"pH_after","all predictors w/o coordinates","abundance"
