"cpom_cover","yhat","predictors","model","index"
1,0.184935251498396,"cpom_cover","sampling w/o coordinates","rel_abundance"
2,0.231442549364382,"cpom_cover","sampling w/o coordinates","rel_abundance"
3,0.295773078017016,"cpom_cover","sampling w/o coordinates","rel_abundance"
