"cpom_cover","yhat","predictors","model","index"
1,720.772488543073,"cpom_cover","sampling w/o coordinates","abundance"
2,997.717343185259,"cpom_cover","sampling w/o coordinates","abundance"
3,2261.25262605971,"cpom_cover","sampling w/o coordinates","abundance"
