"sub_type_int","yhat","predictors","model","index"
0,0.190822365012435,"sub_type","sampling w/ coordinates","rel_abundance"
1,0.190822365012435,"sub_type","sampling w/ coordinates","rel_abundance"
2,0.191712336450615,"sub_type","sampling w/ coordinates","rel_abundance"
3,0.194642873307371,"sub_type","sampling w/ coordinates","rel_abundance"
