"turb_after","yhat","predictors","model","index"
0.26,737.617578815714,"turb_after","all predictors w/ coordinates","abundance"
11.93125,772.79013236203,"turb_after","all predictors w/ coordinates","abundance"
23.6025,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
35.27375,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
46.945,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
58.61625,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
70.2875,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
81.95875,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
93.63,774.078664442558,"turb_after","all predictors w/ coordinates","abundance"
105.30125,774.910830280501,"turb_after","all predictors w/ coordinates","abundance"
116.9725,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
128.64375,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
140.315,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
151.98625,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
163.6575,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
175.32875,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
187,775.083876576797,"turb_after","all predictors w/ coordinates","abundance"
