"sub_type_int","yhat","predictors","model","index"
0,743.272699715435,"sub_type","all predictors w/o coordinates","abundance"
1,743.642789550449,"sub_type","all predictors w/o coordinates","abundance"
2,743.081433531167,"sub_type","all predictors w/o coordinates","abundance"
3,725.493552758743,"sub_type","all predictors w/o coordinates","abundance"
