"sub_type_int","yhat","predictors","model","index"
0,2.67316647854877,"sub_type","sampling w/o coordinates","shannon_index"
1,2.67338206638933,"sub_type","sampling w/o coordinates","shannon_index"
2,2.67357526305199,"sub_type","sampling w/o coordinates","shannon_index"
3,2.62708165619414,"sub_type","sampling w/o coordinates","shannon_index"
