"moos_cover","yhat","predictors","model","index"
0,724.984402677287,"moos_cover","all predictors w/o coordinates","abundance"
1,853.807662615526,"moos_cover","all predictors w/o coordinates","abundance"
2,852.939377694539,"moos_cover","all predictors w/o coordinates","abundance"
3,852.939377694539,"moos_cover","all predictors w/o coordinates","abundance"
