"cpom_cover","yhat","predictors","model","index"
1,413.874765161155,"cpom_cover","sampling w/o coordinates","abundance"
2,468.0350794032,"cpom_cover","sampling w/o coordinates","abundance"
3,500.678213727647,"cpom_cover","sampling w/o coordinates","abundance"
