"moos_cover","yhat","predictors","model","index"
0,0.531914088039651,"moos_cover","all predictors w/o coordinates","k_index"
1,0.5366861375927,"moos_cover","all predictors w/o coordinates","k_index"
2,0.514191237289705,"moos_cover","all predictors w/o coordinates","k_index"
3,0.514807753267571,"moos_cover","all predictors w/o coordinates","k_index"
