"sub_type_int","yhat","predictors","model","index"
0,0.540790222061291,"sub_type","all predictors w/o coordinates","k_index"
1,0.541488039737742,"sub_type","all predictors w/o coordinates","k_index"
2,0.542281777698298,"sub_type","all predictors w/o coordinates","k_index"
3,0.540106534406431,"sub_type","all predictors w/o coordinates","k_index"
