"cat_velocity","yhat","predictors","model","index"
1,0.198557379379593,"cat_velocity","sampling w/ coordinates","rel_abundance"
2,0.198557379379593,"cat_velocity","sampling w/ coordinates","rel_abundance"
3,0.19829197703533,"cat_velocity","sampling w/ coordinates","rel_abundance"
4,0.192400344117131,"cat_velocity","sampling w/ coordinates","rel_abundance"
5,0.193202851957553,"cat_velocity","sampling w/ coordinates","rel_abundance"
