"sub_type_int","yhat","predictors","model","index"
0,736.821149370185,"sub_type","sampling w/ coordinates","abundance"
1,736.288283771939,"sub_type","sampling w/ coordinates","abundance"
2,767.083867421857,"sub_type","sampling w/ coordinates","abundance"
3,681.021625552458,"sub_type","sampling w/ coordinates","abundance"
