"cpom_cover","yhat","predictors","model","index"
1,0.540966653849877,"cpom_cover","sampling w/o coordinates","k_index"
2,0.545365964801496,"cpom_cover","sampling w/o coordinates","k_index"
3,0.550442064494785,"cpom_cover","sampling w/o coordinates","k_index"
