"cat_velocity","yhat","predictors","model","index"
1,0.185661840384178,"cat_velocity","sampling w/o coordinates","rel_abundance"
2,0.185661840384178,"cat_velocity","sampling w/o coordinates","rel_abundance"
3,0.18681406565483,"cat_velocity","sampling w/o coordinates","rel_abundance"
4,0.186640013235392,"cat_velocity","sampling w/o coordinates","rel_abundance"
5,0.187990284955089,"cat_velocity","sampling w/o coordinates","rel_abundance"
