"clog_3_class_int","yhat","predictors","model","index"
0,2.53630780886764,"clog_3_class","sampling w/o coordinates","shannon_index"
1,2.53742336982591,"clog_3_class","sampling w/o coordinates","shannon_index"
2,2.46149630658167,"clog_3_class","sampling w/o coordinates","shannon_index"
