"cpom_cover","yhat","predictors","model","index"
1,750.242319444444,"cpom_cover","sampling w/o coordinates","abundance"
2,1510.84829166667,"cpom_cover","sampling w/o coordinates","abundance"
3,1821.49755555556,"cpom_cover","sampling w/o coordinates","abundance"
