"clog_3_class_int","yhat","predictors","model","index"
0,0.19223748223242,"clog_3_class","sampling w/o coordinates","rel_abundance"
1,0.177791318302047,"clog_3_class","sampling w/o coordinates","rel_abundance"
2,0.177791801003838,"clog_3_class","sampling w/o coordinates","rel_abundance"
