"clog_6_class_int","yhat","predictors","model","index"
0,0.546120404529864,"clog_6_class","sampling w/o coordinates","k_index"
1,0.549111126230486,"clog_6_class","sampling w/o coordinates","k_index"
2,0.543750408223813,"clog_6_class","sampling w/o coordinates","k_index"
3,0.543750408223813,"clog_6_class","sampling w/o coordinates","k_index"
4,0.529446127510828,"clog_6_class","sampling w/o coordinates","k_index"
5,0.529446127510828,"clog_6_class","sampling w/o coordinates","k_index"
6,0.529446127510828,"clog_6_class","sampling w/o coordinates","k_index"
