"cpom_cover","yhat","predictors","model","index"
1,0.188464382110329,"cpom_cover","sampling w/ coordinates","rel_abundance"
2,0.539758894109616,"cpom_cover","sampling w/ coordinates","rel_abundance"
3,0.593421932861761,"cpom_cover","sampling w/ coordinates","rel_abundance"
