"pH_after","yhat","predictors","model","index"
7.23,2.74857846981809,"pH_after","all predictors w/o coordinates","shannon_index"
7.31882352941177,2.74656858709944,"pH_after","all predictors w/o coordinates","shannon_index"
7.40764705882353,2.74656858709944,"pH_after","all predictors w/o coordinates","shannon_index"
7.49647058823529,2.74656858709944,"pH_after","all predictors w/o coordinates","shannon_index"
7.58529411764706,2.67126740377521,"pH_after","all predictors w/o coordinates","shannon_index"
7.67411764705882,2.66562406307287,"pH_after","all predictors w/o coordinates","shannon_index"
7.76294117647059,2.66042202871568,"pH_after","all predictors w/o coordinates","shannon_index"
7.85176470588235,2.65987601490737,"pH_after","all predictors w/o coordinates","shannon_index"
7.94058823529412,2.6568693161098,"pH_after","all predictors w/o coordinates","shannon_index"
8.02941176470588,2.65427866874921,"pH_after","all predictors w/o coordinates","shannon_index"
8.11823529411765,2.65524438311197,"pH_after","all predictors w/o coordinates","shannon_index"
8.20705882352941,2.6565378950129,"pH_after","all predictors w/o coordinates","shannon_index"
8.29588235294118,2.66283971680146,"pH_after","all predictors w/o coordinates","shannon_index"
8.38470588235294,2.66222289590988,"pH_after","all predictors w/o coordinates","shannon_index"
8.47352941176471,2.66418771574619,"pH_after","all predictors w/o coordinates","shannon_index"
8.56235294117647,2.66930179828036,"pH_after","all predictors w/o coordinates","shannon_index"
8.65117647058824,2.66435261468661,"pH_after","all predictors w/o coordinates","shannon_index"
8.74,2.66199481787465,"pH_after","all predictors w/o coordinates","shannon_index"
