"cat_velocity","yhat","predictors","model","index"
1,754.239891846975,"cat_velocity","sampling w/o coordinates","abundance"
2,754.239891846975,"cat_velocity","sampling w/o coordinates","abundance"
3,755.986763786387,"cat_velocity","sampling w/o coordinates","abundance"
4,756.132516516579,"cat_velocity","sampling w/o coordinates","abundance"
5,754.613330555472,"cat_velocity","sampling w/o coordinates","abundance"
