"turb_after","yhat","predictors","model","index"
0.26,734.904949637961,"turb_after","all predictors w/o coordinates","abundance"
11.93125,780.550265793938,"turb_after","all predictors w/o coordinates","abundance"
23.6025,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
35.27375,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
46.945,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
58.61625,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
70.2875,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
81.95875,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
93.63,780.674963743674,"turb_after","all predictors w/o coordinates","abundance"
105.30125,780.136973796584,"turb_after","all predictors w/o coordinates","abundance"
116.9725,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
128.64375,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
140.315,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
151.98625,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
163.6575,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
175.32875,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
187,780.695934463438,"turb_after","all predictors w/o coordinates","abundance"
