"moos_cover","yhat","predictors","model","index"
0,738.700298530267,"moos_cover","all predictors w/o coordinates","abundance"
1,754.066078822006,"moos_cover","all predictors w/o coordinates","abundance"
2,745.670763702248,"moos_cover","all predictors w/o coordinates","abundance"
3,756.188011800328,"moos_cover","all predictors w/o coordinates","abundance"
