"clog_6_class_int","yhat","predictors","model","index"
0,0.18835622693439,"clog_6_class","sampling w/o coordinates","rel_abundance"
1,0.187068104079209,"clog_6_class","sampling w/o coordinates","rel_abundance"
2,0.186760886940106,"clog_6_class","sampling w/o coordinates","rel_abundance"
3,0.186760886940106,"clog_6_class","sampling w/o coordinates","rel_abundance"
4,0.185757886199955,"clog_6_class","sampling w/o coordinates","rel_abundance"
5,0.185757886199955,"clog_6_class","sampling w/o coordinates","rel_abundance"
6,0.186124569604821,"clog_6_class","sampling w/o coordinates","rel_abundance"
