"cat_velocity","yhat","predictors","model","index"
1,2.48531567500397,"cat_velocity","all predictors w/ coordinates","shannon_index"
2,2.49466580960643,"cat_velocity","all predictors w/ coordinates","shannon_index"
3,2.51064538364695,"cat_velocity","all predictors w/ coordinates","shannon_index"
4,2.52031019589871,"cat_velocity","all predictors w/ coordinates","shannon_index"
5,2.51105611735078,"cat_velocity","all predictors w/ coordinates","shannon_index"
