"cpom_cover","yhat","predictors","model","index"
1,0.530761081739843,"cpom_cover","sampling w/o coordinates","k_index"
2,0.540771937771111,"cpom_cover","sampling w/o coordinates","k_index"
3,0.540771937771111,"cpom_cover","sampling w/o coordinates","k_index"
