"sub_type_int","yhat","predictors","model","index"
0,716.827270162278,"sub_type","sampling w/o coordinates","abundance"
1,728.698569581129,"sub_type","sampling w/o coordinates","abundance"
2,740.009936159936,"sub_type","sampling w/o coordinates","abundance"
3,736.023713559776,"sub_type","sampling w/o coordinates","abundance"
