"cat_velocity","yhat","predictors","model","index"
1,0.2016714475746,"cat_velocity","sampling w/o coordinates","rel_abundance"
2,0.187022408753953,"cat_velocity","sampling w/o coordinates","rel_abundance"
3,0.183727417770322,"cat_velocity","sampling w/o coordinates","rel_abundance"
4,0.186575830475814,"cat_velocity","sampling w/o coordinates","rel_abundance"
5,0.191475288691055,"cat_velocity","sampling w/o coordinates","rel_abundance"
