"temp_after","yhat","predictors","model","index"
4.7,796.517522542565,"temp_after","sampling w/ coordinates","abundance"
4.975,796.517522542565,"temp_after","sampling w/ coordinates","abundance"
5.25,761.384765073105,"temp_after","sampling w/ coordinates","abundance"
5.525,761.437696390682,"temp_after","sampling w/ coordinates","abundance"
5.8,761.437696390682,"temp_after","sampling w/ coordinates","abundance"
6.075,761.437696390682,"temp_after","sampling w/ coordinates","abundance"
6.35,761.437696390682,"temp_after","sampling w/ coordinates","abundance"
6.625,761.437696390682,"temp_after","sampling w/ coordinates","abundance"
6.9,761.437571777238,"temp_after","sampling w/ coordinates","abundance"
7.175,761.437571777238,"temp_after","sampling w/ coordinates","abundance"
7.45,761.437571777238,"temp_after","sampling w/ coordinates","abundance"
7.725,787.036778416899,"temp_after","sampling w/ coordinates","abundance"
8,787.036778416899,"temp_after","sampling w/ coordinates","abundance"
8.275,787.036582935739,"temp_after","sampling w/ coordinates","abundance"
8.55,775.568890478818,"temp_after","sampling w/ coordinates","abundance"
8.825,775.569480273401,"temp_after","sampling w/ coordinates","abundance"
9.1,780.450973842983,"temp_after","sampling w/ coordinates","abundance"
