"clog_3_class_int","yhat","predictors","model","index"
0,0.541883305244197,"clog_3_class","all predictors w/o coordinates","k_index"
1,0.538543062128797,"clog_3_class","all predictors w/o coordinates","k_index"
2,0.53371903416646,"clog_3_class","all predictors w/o coordinates","k_index"
