"cat_velocity","yhat","predictors","model","index"
1,0.533858148570078,"cat_velocity","sampling w/o coordinates","k_index"
2,0.533858148570078,"cat_velocity","sampling w/o coordinates","k_index"
3,0.54288167004352,"cat_velocity","sampling w/o coordinates","k_index"
4,0.543403396625882,"cat_velocity","sampling w/o coordinates","k_index"
5,0.544197100714065,"cat_velocity","sampling w/o coordinates","k_index"
