"cpom_cover","yhat","predictors","model","index"
1,721.001399586392,"cpom_cover","sampling w/o coordinates","abundance"
2,986.773622485175,"cpom_cover","sampling w/o coordinates","abundance"
3,1449.79989140276,"cpom_cover","sampling w/o coordinates","abundance"
