"cpom_cover","yhat","predictors","model","index"
1,743.415005106791,"cpom_cover","sampling w/ coordinates","abundance"
2,1592.80608057093,"cpom_cover","sampling w/ coordinates","abundance"
3,2002.64529362431,"cpom_cover","sampling w/ coordinates","abundance"
