"cpom_cover","yhat","predictors","model","index"
1,0.182892068138218,"cpom_cover","sampling w/o coordinates","rel_abundance"
2,0.327287440525665,"cpom_cover","sampling w/o coordinates","rel_abundance"
3,0.52810570338498,"cpom_cover","sampling w/o coordinates","rel_abundance"
