"cpom_cover","yhat","predictors","model","index"
1,0.541943941532077,"cpom_cover","sampling w/o coordinates","k_index"
2,0.538540489122987,"cpom_cover","sampling w/o coordinates","k_index"
3,0.543135596049504,"cpom_cover","sampling w/o coordinates","k_index"
