"clog_3_class_int","yhat","predictors","model","index"
0,2.66778095603602,"clog_3_class","sampling w/o coordinates","shannon_index"
1,2.71479219503838,"clog_3_class","sampling w/o coordinates","shannon_index"
2,2.69125092460164,"clog_3_class","sampling w/o coordinates","shannon_index"
