"clog_6_class_int","yhat","predictors","model","index"
0,0.194416439500249,"clog_6_class","sampling w/ coordinates","rel_abundance"
1,0.191177051991906,"clog_6_class","sampling w/ coordinates","rel_abundance"
2,0.191177051991906,"clog_6_class","sampling w/ coordinates","rel_abundance"
3,0.191177051991906,"clog_6_class","sampling w/ coordinates","rel_abundance"
4,0.191177051991906,"clog_6_class","sampling w/ coordinates","rel_abundance"
5,0.191177051991906,"clog_6_class","sampling w/ coordinates","rel_abundance"
6,0.19098865722319,"clog_6_class","sampling w/ coordinates","rel_abundance"
