"cat_velocity","yhat","predictors","model","index"
1,743.783847826087,"cat_velocity","sampling w/o coordinates","abundance"
2,739.261833333333,"cat_velocity","sampling w/o coordinates","abundance"
3,736.216956521739,"cat_velocity","sampling w/o coordinates","abundance"
4,738.273253623188,"cat_velocity","sampling w/o coordinates","abundance"
5,747.082304347826,"cat_velocity","sampling w/o coordinates","abundance"
