"cpom_cover","yhat","predictors","model","index"
1,0.187854344351072,"cpom_cover","sampling w/o coordinates","rel_abundance"
2,0.561948593740386,"cpom_cover","sampling w/o coordinates","rel_abundance"
3,0.755186659870324,"cpom_cover","sampling w/o coordinates","rel_abundance"
