"cpom_cover","yhat","predictors","model","index"
1,738.614824189438,"cpom_cover","sampling w/ coordinates","abundance"
2,1852.41597606518,"cpom_cover","sampling w/ coordinates","abundance"
3,2493.06326520001,"cpom_cover","sampling w/ coordinates","abundance"
