"River","Discharge","value","normal","persistent"
"L2",2.4,0.1,739,739
"L2",2.4,0.3,17,17
"L2",2.4,0.5,3327,3327
"L2",2.4,0.7,3594,3594
"L2",2.4,0.9,18344,18344
"L2",3.9,0.1,1040,1040
"L2",3.9,0.3,74,74
"L2",3.9,0.5,3221,3221
"L2",3.9,0.7,7180,7180
"L2",3.9,0.9,17905,17905
"L2",4.6,0.1,1104,1104
"L2",4.6,0.3,122,122
"L2",4.6,0.5,3214,3214
"L2",4.6,0.7,8947,8947
"L2",4.6,0.9,17151,17151
"L2",7,0.1,1932,1932
"L2",7,0.3,331,331
"L2",7,0.5,4696,4696
"L2",7,0.7,14251,14251
"L2",7,0.9,14170,14170
"L2",9.24,0.1,2030,2030
"L2",9.24,0.3,672,672
"L2",9.24,0.5,6167,6167
"L2",9.24,0.7,18484,18484
"L2",9.24,0.9,12212,12212
"L2",11.4,0.1,1915,1915
"L2",11.4,0.3,1139,1139
"L2",11.4,0.5,7376,7376
"L2",11.4,0.7,21661,21661
"L2",11.4,0.9,10961,10961
"L2",13.3,0.1,1533,1533
"L2",13.3,0.3,1765,1765
"L2",13.3,0.5,8668,8668
"L2",13.3,0.7,22980,22980
"L2",13.3,0.9,11159,11159
"L2",15,0.1,1199,1199
"L2",15,0.3,2342,2342
"L2",15,0.5,9042,9042
"L2",15,0.7,23705,23705
"L2",15,0.9,11970,11970
"L2",18.9,0.1,1013,1013
"L2",18.9,0.3,3830,3830
"L2",18.9,0.5,8330,8330
"L2",18.9,0.7,24754,24754
"L2",18.9,0.9,14443,14443
