"","Reach_Untersuchungsstelle","Transect","Sampling_point","Time_of_survey","DIstance_Wasseranschlaglinie_m","Flow_velocity_v60_cm/s","Category_Flow_velocity_5_Bewohnbarkeits-klasse","Water_depth_cm","Category_Water_depth","Clogging_6_Klassen","Clogging_3_Klassen","Substrate_type","Algae_cover_Bewuchsdichte_5_Kategorien_1-5","Moos_cover_Deckungsgrad_6_Kategorien_0-5","CPOM_cover_Deckungsgrad_5_Kategorien_1-5","RTK-GPS_Nr","MZB_kick-net_taken_by","Oxygen_saturation_%_before","Oxygen_saturation_%_during","Oxygen_saturation_%_after","x","y","z","Sampling_site","lab$EPT_Taxa","k_index"
"600","GL6",4,3,14:35:00,3.1,55,5,40,NA,"none","none","250 mm > x > 25 mm",1,0,1,NA,"Diego",NA,NA,NA,"2726418",1167228,NA,NA,0,0
"601","SE1",1,1,10:20:00,3.2,108,NA,48,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",NA,NA,NA,"2593902.438",1190100.368,577.814,NA,0,0
"602","SE1",1,2,10:30:00,7,138,NA,56,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",NA,NA,NA,"2593906.554",1190099.005,578.041,NA,0,0
"603","SE1",1,3,10:40:00,11.5,141,NA,67,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",NA,NA,NA,"2593910.166",1190097.242,578.112,NA,0,0
"604","SE1",2,1,11:05:00,2.7,77,NA,55,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",NA,NA,NA,"2593866.487",1190031.68,578.045,NA,0,0
"605","SE1",2,2,11:00:00,3.2,99,NA,60,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",NA,NA,NA,"2593865.036",1190032.934,578.366,NA,0,0
"606","SE1",2,3,10:50:00,4.9,124,NA,70,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",NA,NA,NA,"2593864.645",1190034.149,578.237,NA,0,0
"607","SE1",3,1,11:35:00,3.6,86,NA,28,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",NA,NA,NA,"2593835.345",1189979.64,579.211,NA,0,0
"608","SE1",3,2,11:30:00,5,158,NA,50,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,8,"Diego",NA,NA,NA,"2593834.145",1189980.064,579.005,NA,0,0
"609","SE1",3,3,11:20:00,5.9,180,NA,56,NA,"none ",NA,"> 250 mm",1,0,1,7,"Diego",NA,NA,NA,"2593833.439",1189981.376,578.966,NA,0,0
"610","SE1",4,1,11:55:00,2,82,NA,36,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,12,"Diego",NA,NA,NA,"2593824.88",1189941.382,580.069,NA,0,0
"611","SE1",4,2,11:45:00,6.4,127,NA,40,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,11,"Diego",NA,NA,NA,"2593820.717",1189943.111,580.091,NA,0,0
"612","SE1",4,3,11:40:00,10.3,149,NA,55,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",NA,NA,NA,"2593817.325",1189945.586,579.784,NA,0,0
"613","SE2",1,1,14:55:00,2.3,91,NA,49,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",NA,NA,NA,"2593850.705",1190565.933,573.766,NA,0,0
"614","SE2",1,2,14:50:00,5,149,NA,65,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",NA,NA,NA,"2593847.625",1190567.317,573.301,NA,0,0
"615","SE2",1,3,14:45:00,9,168,NA,68,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",NA,NA,NA,"2593843.894",1190567.701,573.465,NA,0,0
"616","SE2",2,1,15:15:00,1.8,94,NA,63,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",NA,NA,NA,"2593841.635",1190520.588,573.857,NA,0,0
"617","SE2",2,2,15:10:00,3.9,138,NA,71,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",NA,NA,NA,"2593839.389",1190521.154,573.424,NA,0,0
"618","SE2",2,3,15:05:00,5.7,180,NA,74,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",NA,NA,NA,"2593836.966",1190521.493,572.928,NA,0,0
"619","SE2",3,1,15:55:00,12.1,24,NA,40,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",NA,NA,NA,"2593853.866",1190468.077,575,NA,0,0
"620","SE2",3,2,15:45:00,16.6,183,NA,46,NA,"none ",NA,"> 250 mm",1,0,1,8,"Diego",NA,NA,NA,"2593849.455",1190459.648,574.946,NA,0,0
"621","SE2",3,3,15:40:00,21,155,NA,48,NA,"none ",NA,"> 250 mm",1,0,1,7,"Diego",NA,NA,NA,"2593845.851",1190449.515,574.847,NA,0,0
"622","SE2",4,1,16:15:00,5.5,83,NA,38,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,12,"Diego",NA,NA,NA,"2593866.86",1190445.103,575.156,NA,0,0
"623","SE2",4,2,16:10:00,11.2,108,NA,54,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,11,"Diego",NA,NA,NA,"2593862.495",1190441.769,575.023,NA,0,0
"624","SE2",4,3,16:00:00,16,127,NA,57,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,10,"Diego",NA,NA,NA,"2593858.665",1190438.631,574.879,NA,0,0
"625","SE3",1,1,12:55:00,6.4,55,NA,23,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,3,"Diego",NA,NA,NA,"2593419.512",1192941.163,551.896,NA,0,0
"626","SE3",1,2,12:50:00,12.1,149,NA,48,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,2,"Diego",NA,NA,NA,"2593430.906",1192942.477,551.833,NA,0,0
"627","SE3",1,3,12:40:00,20.3,155,NA,72,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,1,"Diego",NA,NA,NA,"2593438.103",1192948.793,551.619,NA,0,0
"628","SE3",2,1,13:15:00,1.6,61,NA,30,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,6,"Diego",NA,NA,NA,"2593455.692",1192916.222,551.961,NA,0,0
"629","SE3",2,2,13:10:00,5.2,138,NA,62,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,5,"Diego",NA,NA,NA,"2593457.114",1192918.748,551.686,NA,0,0
"630","SE3",2,3,13:05:00,12.1,144,NA,84,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,4,"Diego",NA,NA,NA,"2593459.257",1192920.619,551.64,NA,0,0
"631","SE3",3,1,13:45:00,2.5,99,NA,24,NA,"none ",NA,"250 mm > x > 25 mm",1,0,1,9,"Diego",NA,NA,NA,"2593495.754",1192868.554,552.344,NA,0,0
