M1-1-1	2734822.966	1129308.228	403.167
M1-1-2	2734821.586	1129307.857	402.999
M1-1-3	2734820.122	1129307.498	402.960
M1-2-1	2734822.048	1129324.876	403.408
M1-2-2	2734820.510	1129325.085	403.275
M1-2-3	2734819.422	1129325.414	403.071
M1-3-1	2734842.711	1129346.278	403.816
M1-3-2	2734840.930	1129348.219	403.724
M1-3-3	2734839.109	1129349.478	403.665
M1-4-1	2734848.046	1129348.978	403.778
M1-4-2	2734847.009	1129353.065	403.689
M1-4-3	2734844.813	1129356.052	403.684
M2-1-1	2736238.699	1132609.817	443.201
M2-1-2	2736236.958	1132609.605	443.166
M2-1-3	2736234.854	1132609.242	443.098
M2-2-1	2736237.407	1132621.122	443.117
M2-2-2	2736235.926	1132620.546	443.056
M2-2-3	2736234.583	1132620.108	442.935
M2-3-1	2736259.482	1132686.596	444.536
M2-3-2	2736257.769	1132686.707	444.436
M2-3-3	2736257.264	1132687.248	444.433
M2-4-1	2736265.538	1132693.39	444.733
M2-4-2	2736264.559	1132694.323	444.667
M2-4-3	2736263.336	1132695.273	444.688
M3-1-1	2730461.188	1122133.942	288.033
M3-1-2	2730461.317	1122138.948	287.828
M3-1-3	2730462.775	1122142.196	287.531
M3-2-1	2730485.230	1122130.234	288.048
M3-2-2	2730486.387	1122132.592	287.904
M3-2-3	2730487.443	1122135.825	287.763
M3-3-1	2730510.464	1122123.015	288.480
M3-3-2	2730512.229	1122126.031	288.284
M3-3-3	2730512.776	1122130.865	287.878
M3-4-1	2730520.047	1122119.599	288.500
M3-4-2	2730520.088	1122121.39	288.346
M3-4-3	2730522.078	1122125.129	288.206
MR-1-1	2736794.555	1133743.459	472.246
MR-1-2	2736795.293	1133744.09	472.160
MR-1-3	2736797.722	1133745.435	471.950
MR-2-1	2736788.393	1133751.648	472.376
MR-2-2	2736790.236	1133752.518	471.950
MR-2-3	2736791.653	1133753.578	472.108
MR-3-1	2736779.218	1133768.546	472.630
MR-3-2	2736779.933	1133771.329	472.346
MR-3-3	2736780.461	1133773.393	472.356
MR-4-1	2736773.965	1133778.269	472.999
MR-4-2	2736774.94	1133778.542	472.854
MR-4-3	2736775.968	1133779.517	472.748
M4-1-1	2736753.947	1133404.723	463.003
M4-1-2	2736752.813	1133406.705	462.854
M4-1-3	2736751.419	1133407.654	462.704
M4-2-1	2736760.372	1133410.200	463.194
M4-2-2	2736759.496	1133411.500	462.994
M4-2-3	2736758.720	1133412.491	463.156
M4-3-1	2736776.760	1133421.802	463.382
M4-3-2	2736775.102	1133424.299	463.122
M4-3-3	2736774.089	1133425.802	463.165
M4-4-1	2736784.117	1133427.735	463.642
M4-4-2	2736783.067	1133429.546	463.640
M4-4-3	2736782.463	1133430.729	463.516
M5-1-1	2729452.930	1122044.578	276.067
M5-1-2	2729453.503	1122039.653	275.739
M5-1-3	2729455.950	1122037.351	275.616
M5-2-1	2729467.877	1122058.298	276.432
M5-2-2	2729468.705	1122057.207	276.163
M5-2-3	2729472.058	1122054.897	276.147
M5-3-1	2729479.749	1122070.971	276.933
M5-3-2	2729481.799	1122069.723	276.527
M5-3-3	2729484.994	1122068.342	276.480
