TH3-new-1,,2723934.736,1248638.370,553.598
TH3-new-2,,2723935.274,1248640.253,553.814
TH3-new-3,,2723935.481,1248641.940,553.981
TH3-new-4,,2723955.193,1248636.637,553.613
TH3-new-5,,2723957.107,1248639.621,553.969
TH3-new-6,,2723957.039,1248641.044,554.139
TH3-new-7,,2724023.199,1248636.945,554.069
TH3-new-8,,2724016.992,1248638.749,554.403
TH3-new-9,,2724015.401,1248641.172,554.478
TH3-new-10,,2724030.473,1248642.325,554.185
TH3-new-11,,2724023.707,1248646.714,554.511
TH3-new-12,,2724020.836,1248650.786,554.570
