VE2-1,,2706482.494,1124771.380,578.359
VE2-2,,2706478.467,1124767.604,578.276
VE2-3,,2706475.590,1124763.591,578.606
VE2-4,,2706476.427,1124775.465,578.529
VE2-5,,2706473.433,1124770.855,578.429
VE2-6,,2706470.815,1124768.572,578.492
VE2-7,,2706454.428,1124791.781,579.071
VE2-8,,2706451.174,1124791.051,579.054
VE2-9,,2706451.281,1124792.213,579.095
VE2-10,,2706444.680,1124781.323,579.174
VE2-11,,2706432.600,1124809.746,579.359
VE2-12,,2706430.894,1124806.018,579.413
VE2-13,,2706427.354,1124800.031,579.285
